NOC,Year,Sport,Ath_Score,Normalized_Ath_Score
ALG,2000,Weightlifting,0.0,0.0
ALG,2000,Wrestling,0.0,0.0
ALG,2004,Athletics,0.83521003,0.00190046748601846
ALG,2004,Boxing,0.0,0.0
ALG,2004,Fencing,0.0,0.0
ALG,2004,Judo,0.0,0.0
ALG,2004,Rowing,0.0,0.0
ALG,2004,Swimming,0.0,0.0
ALG,2004,Table Tennis,0.0,0.0
ALG,2004,Tennis,0.0,0.0
ALG,2004,Weightlifting,0.0,0.0
ALG,2004,Wrestling,0.0,0.0
ALG,2008,Athletics,0.16349432,0.0003720209625699749
ALG,2008,Badminton,0.0,0.0
ALG,2008,Boxing,0.0,0.0
ALG,2008,Cycling,0.0,0.0
ALG,2008,Fencing,0.0,0.0
ALG,2008,Judo,1.1,0.002502980279846862
ALG,2008,Rowing,0.0,0.0
ALG,2008,Swimming,0.0,0.0
ALG,2008,Table Tennis,0.0,0.0
ALG,2008,Volleyball,0.0,0.0
ALG,2008,Weightlifting,0.0,0.0
ALG,2008,Wrestling,0.0,0.0
ALG,2012,Athletics,1.4,0.003185611265259642
ALG,2012,Boxing,0.0,0.0
ALG,2012,Cycling,0.0,0.0
ALG,2012,Fencing,0.0,0.0
ALG,2012,Judo,0.2998477,0.0006822844364158526
ALG,2012,Rowing,0.0,0.0
ALG,2012,Shooting,0.0,0.0
ALG,2012,Swimming,0.0,0.0
ALG,2012,Taekwondo,0.0,0.0
ALG,2012,Volleyball,0.0,0.0
ALG,2012,Weightlifting,0.0,0.0
ALG,2012,Wrestling,0.0,0.0
ALG,2016,Athletics,0.9654044,0.002196716522979447
ALG,2016,Boxing,0.0,0.0
ALG,2016,Cycling,0.0,0.0
ALG,2016,Fencing,0.0,0.0
ALG,2016,Football,0.0,0.0
ALG,2016,Gymnastics,0.0,0.0
ALG,2016,Judo,0.0,0.0
ALG,2016,Rowing,0.0,0.0
ALG,2016,Sailing,0.0,0.0
ALG,2016,Shooting,0.0,0.0
ALG,2016,Swimming,0.0,0.0
ALG,2016,Weightlifting,0.0,0.0
ALG,2016,Wrestling,0.0,0.0
ALG,2020,Athletics,0.0,0.0
ALG,2020,Boxing,0.0,0.0
ALG,2020,Canoe Sprint,0.0,0.0
ALG,2020,Cycling Road,0.0,0.0
ALG,2020,Fencing,0.0,0.0
ALG,2020,Judo,0.0,0.0
ALG,2020,Karate,0.0,0.0
ALG,2020,Marathon Swimming,0.0,0.0
ALG,2020,Rowing,0.0,0.0
ALG,2020,Sailing,0.0,0.0
ALG,2020,Shooting,0.0,0.0
ALG,2020,Swimming,0.0,0.0
ALG,2020,Table Tennis,0.0,0.0
ALG,2020,Weightlifting,0.0,0.0
ALG,2020,Wrestling,0.0,0.0
ALG,2024,Artistic Gymnastics,1.4,0.003185611265259642
ALG,2024,Athletics,0.5,0.0011377183090213008
ALG,2024,Badminton,0.0,0.0
ALG,2024,Boxing,0.7,0.001592805632629821
ALG,2024,Canoe Slalom,0.0,0.0
ALG,2024,Cycling Road,0.0,0.0
ALG,2024,Fencing,0.0,0.0
ALG,2024,Judo,0.0,0.0
ALG,2024,Rowing,0.0,0.0
ALG,2024,Sailing,0.0,0.0
ALG,2024,Shooting,0.0,0.0
ALG,2024,Swimming,0.0,0.0
ALG,2024,Table Tennis,0.0,0.0
ALG,2024,Weightlifting,0.0,0.0
ALG,2024,Wrestling,0.0,0.0
AND,1976,Boxing,0.0,0.0
AND,1976,Shooting,0.0,0.0
AND,1980,Shooting,0.0,0.0
AND,1984,Shooting,0.0,0.0
AND,1988,Athletics,0.0,0.0
AND,1988,Cycling,0.0,0.0
AND,1992,Athletics,0.0,0.0
AND,1992,Cycling,0.0,0.0
AND,1992,Judo,0.0,0.0
AND,1992,Sailing,0.0,0.0
AND,1992,Shooting,0.0,0.0
AND,1996,Athletics,0.0,0.0
AND,1996,Judo,0.0,0.0
AND,1996,Sailing,0.0,0.0
AND,1996,Shooting,0.0,0.0
AND,1996,Swimming,0.0,0.0
AND,2000,Athletics,0.0,0.0
AND,2000,Shooting,0.0,0.0
AND,2000,Swimming,0.0,0.0
AND,2004,Athletics,0.0,0.0
AND,2004,Judo,0.0,0.0
AND,2004,Shooting,0.0,0.0
AND,2004,Swimming,0.0,0.0
AND,2008,Athletics,0.0,0.0
AND,2008,Canoeing,0.0,0.0
AND,2008,Judo,0.0,0.0
AND,2008,Swimming,0.0,0.0
AND,2012,Athletics,0.0,0.0
AND,2012,Judo,0.0,0.0
AND,2012,Shooting,0.0,0.0
AND,2012,Swimming,0.0,0.0
AND,2016,Athletics,0.0,0.0
AND,2016,Judo,0.0,0.0
AND,2016,Shooting,0.0,0.0
AND,2016,Swimming,0.0,0.0
AND,2020,Athletics,0.0,0.0
AND,2020,Canoe Slalom,0.0,0.0
AND,2024,Athletics,0.0,0.0
AND,2024,Canoe Slalom,0.0,0.0
ANG,1980,Athletics,0.0,0.0
ANG,1980,Boxing,0.0,0.0
ANG,1980,Swimming,0.0,0.0
ANG,1988,Athletics,0.0,0.0
ANG,1988,Boxing,0.0,0.0
ANG,1988,Judo,0.0,0.0
ANG,1988,Swimming,0.0,0.0
ANG,1992,Athletics,0.0,0.0
ANG,1992,Basketball,0.0,0.0
ANG,1992,Boxing,0.0,0.0
ANG,1992,Judo,0.0,0.0
ANG,1992,Sailing,0.0,0.0
ANG,1992,Swimming,0.0,0.0
ANG,1996,Athletics,0.0,0.0
ANG,1996,Basketball,0.0,0.0
ANG,1996,Handball,0.0,0.0
ANG,1996,Shooting,0.0,0.0
ANG,1996,Swimming,0.0,0.0
ANG,2000,Athletics,0.0,0.0
ANG,2000,Basketball,0.0,0.0
ANG,2000,Handball,0.0,0.0
ANG,2000,Shooting,0.0,0.0
ANG,2000,Swimming,0.0,0.0
ANG,2004,Athletics,0.0,0.0
ANG,2004,Basketball,0.0,0.0
ANG,2004,Handball,0.0,0.0
ANG,2004,Judo,0.0,0.0
ANG,2004,Swimming,0.0,0.0
ANG,2008,Athletics,0.0,0.0
ANG,2008,Basketball,0.0,0.0
ANG,2008,Beach Volleyball,0.0,0.0
ANG,2008,Canoeing,0.0,0.0
ANG,2008,Handball,0.0,0.0
ANG,2008,Swimming,0.0,0.0
ANG,2012,Athletics,0.0,0.0
ANG,2012,Basketball,0.0,0.0
ANG,2012,Canoeing,0.0,0.0
ANG,2012,Handball,0.0,0.0
ANG,2012,Judo,0.0,0.0
ANG,2012,Swimming,0.0,0.0
ANG,2016,Athletics,0.0,0.0
ANG,2016,Handball,0.0,0.0
ANG,2016,Judo,0.0,0.0
ANG,2016,Rowing,0.0,0.0
ANG,2016,Sailing,0.0,0.0
ANG,2016,Shooting,0.0,0.0
ANG,2016,Swimming,0.0,0.0
ANG,2020,Athletics,0.0,0.0
ANG,2020,Handball,0.0,0.0
ANG,2020,Judo,0.0,0.0
ANG,2020,Sailing,0.0,0.0
ANG,2020,Swimming,0.0,0.0
ANG,2024,Athletics,0.0,0.0
ANG,2024,Canoe Sprint,0.0,0.0
ANG,2024,Handball,0.0,0.0
ANG,2024,Judo,0.0,0.0
ANG,2024,Rowing,0.0,0.0
ANG,2024,Sailing,0.0,0.0
ANG,2024,Swimming,0.0,0.0
ANT,1976,Athletics,0.0,0.0
ANT,1976,Cycling,0.0,0.0
ANT,1984,Athletics,0.0,0.0
ANT,1984,Cycling,0.0,0.0
ANT,1984,Sailing,0.0,0.0
ANT,1988,Athletics,0.0,0.0
ANT,1988,Boxing,0.0,0.0
ANT,1988,Cycling,0.0,0.0
ANT,1988,Sailing,0.0,0.0
ANT,1992,Athletics,0.0,0.0
ANT,1992,Cycling,0.0,0.0
ANT,1992,Sailing,0.0,0.0
ANT,1996,Athletics,0.0,0.0
ANT,1996,Canoeing,0.0,0.0
ANT,1996,Cycling,0.0,0.0
ANT,1996,Sailing,0.0,0.0
ANT,2000,Athletics,0.0,0.0
ANT,2000,Sailing,0.0,0.0
ANT,2004,Athletics,0.0,0.0
ANT,2004,Swimming,0.0,0.0
ANT,2008,Athletics,0.0,0.0
ANT,2008,Swimming,0.0,0.0
ANT,2012,Athletics,0.0,0.0
ANT,2012,Swimming,0.0,0.0
ANT,2016,Athletics,0.0,0.0
ANT,2016,Swimming,0.0,0.0
ANT,2020,Athletics,0.0,0.0
ANT,2020,Boxing,0.0,0.0
ANT,2020,Sailing,0.0,0.0
ANT,2020,Swimming,0.0,0.0
ANT,2024,Athletics,0.0,0.0
ANT,2024,Sailing,0.0,0.0
ANT,2024,Swimming,0.0,0.0
ANZ,1908,Athletics,0.0,0.0
ANZ,1908,Boxing,0.0,0.0
ANZ,1908,Diving,0.6,0.0013652619708255608
ANZ,1908,Rugby,10.5,0.023892084489447317
ANZ,1908,Shooting,0.0,0.0
ANZ,1908,Swimming,3.3,0.007508940839540584
ANZ,1912,Athletics,0.0,0.0
ANZ,1912,Rowing,0.0,0.0
ANZ,1912,Swimming,13.5513179,0.030835164972396172
ANZ,1912,Tennis,0.5,0.0011377183090213008
ARG,1900,Fencing,0.0,0.0
ARG,1908,Figure Skating,0.0,0.0
ARG,1920,Boxing,0.0,0.0
ARG,1924,Athletics,0.6,0.0013652619708255608
ARG,1924,Boxing,2.2,0.005005960559693724
ARG,1924,Cycling,0.0,0.0
ARG,1924,Fencing,0.0,0.0
ARG,1924,Polo,3.5,0.007964028163149105
ARG,1924,Rowing,0.0,0.0
ARG,1924,Sailing,0.0,0.0
ARG,1924,Shooting,0.0,0.0
ARG,1924,Swimming,0.0,0.0
ARG,1924,Tennis,0.0,0.0
ARG,1924,Weightlifting,0.0,0.0
ARG,1928,Athletics,0.0,0.0
ARG,1928,Boxing,2.6,0.005916135206910764
ARG,1928,Cycling,0.0,0.0
ARG,1928,Equestrianism,0.0,0.0
ARG,1928,Fencing,2.5,0.005688591545106504
ARG,1928,Football,9.6,0.021844191533208972
ARG,1928,Rowing,0.0,0.0
ARG,1928,Sailing,0.0,0.0
ARG,1928,Swimming,1.4,0.003185611265259642
ARG,1928,Water Polo,0.0,0.0
ARG,1928,Weightlifting,0.0,0.0
ARG,1928,Wrestling,0.0,0.0
ARG,1932,Art Competitions,0.0,0.0
ARG,1932,Athletics,0.7,0.001592805632629821
ARG,1932,Boxing,2.0,0.004550873236085203
ARG,1932,Fencing,0.2998477,0.0006822844364158526
ARG,1932,Shooting,0.0,0.0
ARG,1932,Swimming,0.0,0.0
ARG,1932,Weightlifting,0.0,0.0
ARG,1936,Athletics,0.36540437,0.0008314544838907874
ARG,1936,Boxing,2.3,0.005233504221497983
ARG,1936,Fencing,0.53945178,0.0012274883338802616
ARG,1936,Polo,2.8,0.006371222530519284
ARG,1936,Rowing,1.0,0.0022754366180426015
ARG,1936,Sailing,0.0,0.0
ARG,1936,Shooting,0.0,0.0
ARG,1936,Swimming,0.6,0.0013652619708255608
ARG,1948,Athletics,1.9,0.004323329574280943
ARG,1948,Basketball,0.0,0.0
ARG,1948,Boxing,1.9,0.004323329574280943
ARG,1948,Cycling,0.0,0.0
ARG,1948,Equestrianism,0.0,0.0
ARG,1948,Fencing,0.0,0.0
ARG,1948,Gymnastics,0.0,0.0
ARG,1948,Hockey,0.0,0.0
ARG,1948,Modern Pentathlon,0.0,0.0
ARG,1948,Rowing,0.21567115,0.0004907460321653586
ARG,1948,Sailing,3.0,0.006826309854127804
ARG,1948,Shooting,0.6,0.0013652619708255608
ARG,1948,Swimming,0.0,0.0
ARG,1948,Water Polo,0.0,0.0
ARG,1948,Weightlifting,0.0,0.0
ARG,1948,Wrestling,0.0,0.0
ARG,1952,Athletics,0.96540437,0.0021967164547163484
ARG,1952,Basketball,0.0,0.0
ARG,1952,Boxing,1.1,0.002502980279846862
ARG,1952,Cycling,0.0,0.0
ARG,1952,Equestrianism,0.0,0.0
ARG,1952,Fencing,0.0,0.0
ARG,1952,Gymnastics,0.0,0.0
ARG,1952,Modern Pentathlon,0.0,0.0
ARG,1952,Rowing,1.4,0.003185611265259642
ARG,1952,Sailing,0.7196344,0.0016374824653631167
ARG,1952,Shooting,0.3598172,0.0008187412326815584
ARG,1952,Swimming,0.0,0.0
ARG,1952,Water Polo,0.0,0.0
ARG,1952,Weightlifting,0.5,0.0011377183090213008
ARG,1952,Wrestling,0.0,0.0
ARG,1956,Athletics,0.0,0.0
ARG,1956,Boxing,0.5,0.0011377183090213008
ARG,1956,Equestrianism,0.0,0.0
ARG,1956,Fencing,0.0,0.0
ARG,1956,Modern Pentathlon,0.0,0.0
ARG,1956,Sailing,0.0,0.0
ARG,1956,Shooting,0.0,0.0
ARG,1956,Weightlifting,0.8735041,0.0019876032151503464
ARG,1956,Wrestling,0.0,0.0
ARG,1960,Athletics,0.0,0.0
ARG,1960,Boxing,0.5,0.0011377183090213008
ARG,1960,Cycling,0.0,0.0
ARG,1960,Diving,0.0,0.0
ARG,1960,Equestrianism,0.0,0.0
ARG,1960,Fencing,0.0,0.0
ARG,1960,Football,0.0,0.0
ARG,1960,Gymnastics,0.0,0.0
ARG,1960,Modern Pentathlon,0.0,0.0
ARG,1960,Rowing,0.0,0.0
ARG,1960,Sailing,1.7999999999999998,0.004095785912476682
ARG,1960,Shooting,0.0,0.0
ARG,1960,Swimming,0.0,0.0
ARG,1960,Water Polo,0.0,0.0
ARG,1960,Wrestling,0.0,0.0
ARG,1964,Athletics,0.0,0.0
ARG,1964,Boxing,0.0,0.0
ARG,1964,Cycling,0.0,0.0
ARG,1964,Equestrianism,1.2,0.0027305239416511216
ARG,1964,Fencing,0.0,0.0
ARG,1964,Football,0.0,0.0
ARG,1964,Gymnastics,0.0,0.0
ARG,1964,Judo,0.0,0.0
ARG,1964,Rowing,0.0,0.0
ARG,1964,Sailing,0.79723659,0.001814061330129416
ARG,1964,Shooting,0.0,0.0
ARG,1964,Swimming,0.0,0.0
ARG,1964,Weightlifting,0.26136807,0.0005947264772651219
ARG,1964,Wrestling,0.0,0.0
ARG,1968,Athletics,0.0,0.0
ARG,1968,Boxing,0.5,0.0011377183090213008
ARG,1968,Cycling,0.0,0.0
ARG,1968,Equestrianism,0.3598172,0.0008187412326815584
ARG,1968,Fencing,0.0,0.0
ARG,1968,Hockey,0.0,0.0
ARG,1968,Rowing,0.5,0.0011377183090213008
ARG,1968,Sailing,0.0,0.0
ARG,1968,Shooting,0.0,0.0
ARG,1968,Swimming,0.0,0.0
ARG,1968,Weightlifting,0.0,0.0
ARG,1968,Wrestling,0.0,0.0
ARG,1972,Athletics,0.0,0.0
ARG,1972,Boxing,0.0,0.0
ARG,1972,Cycling,0.0,0.0
ARG,1972,Equestrianism,0.0,0.0
ARG,1972,Fencing,0.0,0.0
ARG,1972,Hockey,0.0,0.0
ARG,1972,Judo,0.0,0.0
ARG,1972,Rowing,1.1996953,0.002729830616113604
ARG,1972,Sailing,0.1294027,0.0002944476420535814
ARG,1972,Shooting,0.0,0.0
ARG,1972,Swimming,0.0,0.0
ARG,1972,Wrestling,0.0,0.0
ARG,1976,Athletics,0.0,0.0
ARG,1976,Boxing,0.0,0.0
ARG,1976,Cycling,0.0,0.0
ARG,1976,Equestrianism,0.0,0.0
ARG,1976,Fencing,0.0,0.0
ARG,1976,Hockey,0.0,0.0
ARG,1976,Judo,0.0,0.0
ARG,1976,Rowing,0.0,0.0
ARG,1976,Sailing,0.0,0.0
ARG,1976,Shooting,0.0,0.0
ARG,1976,Swimming,0.0,0.0
ARG,1976,Wrestling,0.0,0.0
ARG,1984,Athletics,0.0,0.0
ARG,1984,Boxing,0.0,0.0
ARG,1984,Canoeing,0.0,0.0
ARG,1984,Cycling,0.0,0.0
ARG,1984,Diving,0.0,0.0
ARG,1984,Equestrianism,0.0,0.0
ARG,1984,Fencing,0.0,0.0
ARG,1984,Judo,0.0,0.0
ARG,1984,Rowing,0.0,0.0
ARG,1984,Sailing,0.0,0.0
ARG,1984,Shooting,0.0,0.0
ARG,1984,Swimming,0.0,0.0
ARG,1984,Volleyball,0.0,0.0
ARG,1984,Wrestling,0.0,0.0
ARG,1988,Archery,0.0,0.0
ARG,1988,Athletics,0.0,0.0
ARG,1988,Boxing,0.0,0.0
ARG,1988,Canoeing,0.0,0.0
ARG,1988,Cycling,0.0,0.0
ARG,1988,Diving,0.0,0.0
ARG,1988,Fencing,0.0,0.0
ARG,1988,Football,0.0,0.0
ARG,1988,Hockey,0.0,0.0
ARG,1988,Judo,0.0,0.0
ARG,1988,Rowing,0.0,0.0
ARG,1988,Sailing,0.0,0.0
ARG,1988,Shooting,0.0,0.0
ARG,1988,Swimming,0.0,0.0
ARG,1988,Table Tennis,0.0,0.0
ARG,1988,Tennis,1.2,0.0027305239416511216
ARG,1988,Volleyball,6.0,0.013652619708255608
ARG,1988,Wrestling,0.0,0.0
ARG,1992,Athletics,0.0,0.0
ARG,1992,Boxing,0.0,0.0
ARG,1992,Canoeing,0.0,0.0
ARG,1992,Cycling,0.0,0.0
ARG,1992,Diving,0.0,0.0
ARG,1992,Fencing,0.0,0.0
ARG,1992,Gymnastics,0.0,0.0
ARG,1992,Hockey,0.0,0.0
ARG,1992,Judo,0.0,0.0
ARG,1992,Rowing,0.0,0.0
ARG,1992,Sailing,0.0,0.0
ARG,1992,Shooting,0.0,0.0
ARG,1992,Swimming,0.0,0.0
ARG,1992,Table Tennis,0.0,0.0
ARG,1992,Tennis,2.0,0.004550873236085203
ARG,1992,Weightlifting,0.0,0.0
ARG,1992,Wrestling,0.0,0.0
ARG,1996,Athletics,0.0,0.0
ARG,1996,Basketball,0.0,0.0
ARG,1996,Beach Volleyball,0.0,0.0
ARG,1996,Boxing,0.5,0.0011377183090213008
ARG,1996,Canoeing,0.0,0.0
ARG,1996,Cycling,0.0,0.0
ARG,1996,Equestrianism,0.0,0.0
ARG,1996,Fencing,0.0,0.0
ARG,1996,Football,10.2,0.023209453504034534
ARG,1996,Gymnastics,0.0,0.0
ARG,1996,Hockey,0.0,0.0
ARG,1996,Judo,0.0,0.0
ARG,1996,Rowing,0.0,0.0
ARG,1996,Sailing,0.6,0.0013652619708255608
ARG,1996,Shooting,0.0,0.0
ARG,1996,Swimming,0.0,0.0
ARG,1996,Tennis,0.51562842,0.0011732797881714501
ARG,1996,Volleyball,0.35963452,0.0008183255559201743
ARG,1996,Weightlifting,0.0,0.0
ARG,1996,Wrestling,0.0,0.0
ARG,2000,Athletics,0.0,0.0
ARG,2000,Beach Volleyball,0.0,0.0
ARG,2000,Boxing,0.0,0.0
ARG,2000,Canoeing,0.0,0.0
ARG,2000,Cycling,0.0,0.0
ARG,2000,Diving,0.0,0.0
ARG,2000,Equestrianism,0.0,0.0
ARG,2000,Fencing,0.0,0.0
ARG,2000,Gymnastics,0.0,0.0
ARG,2000,Hockey,9.0,0.020478929562383414
ARG,2000,Judo,0.0,0.0
ARG,2000,Rowing,0.0,0.0
ARG,2000,Sailing,1.95981723,0.00445943988981282
ARG,2000,Shooting,0.0,0.0
ARG,2000,Swimming,0.0,0.0
ARG,2000,Table Tennis,0.0,0.0
ARG,2000,Taekwondo,0.0,0.0
ARG,2000,Tennis,0.0,0.0
ARG,2000,Triathlon,0.0,0.0
ARG,2000,Volleyball,0.4313423,0.0009814920643307172
ARG,2000,Weightlifting,0.0,0.0
ARG,2004,Athletics,0.0,0.0
ARG,2004,Basketball,7.0,0.01592805632629821
ARG,2004,Beach Volleyball,0.0,0.0
ARG,2004,Boxing,0.0,0.0
ARG,2004,Canoeing,0.0,0.0
ARG,2004,Cycling,0.0,0.0
ARG,2004,Equestrianism,0.0,0.0
ARG,2004,Fencing,0.0,0.0
ARG,2004,Football,10.0361953,0.022836726291447052
ARG,2004,Gymnastics,0.0,0.0
ARG,2004,Hockey,11.4579892,0.026071928194816654
ARG,2004,Judo,0.0,0.0
ARG,2004,Rowing,0.0,0.0
ARG,2004,Sailing,2.1752933,0.00494974202980273
ARG,2004,Shooting,0.0,0.0
ARG,2004,Swimming,1.0,0.0022754366180426015
ARG,2004,Table Tennis,0.0,0.0
ARG,2004,Taekwondo,0.0,0.0
ARG,2004,Tennis,1.5,0.003413154927063902
ARG,2004,Triathlon,0.0,0.0
ARG,2004,Volleyball,0.0,0.0
ARG,2004,Weightlifting,0.0,0.0
ARG,2008,Athletics,0.0,0.0
ARG,2008,Basketball,9.6978675,0.022066882826425258
ARG,2008,Beach Volleyball,0.0,0.0
ARG,2008,Boxing,0.0,0.0
ARG,2008,Canoeing,0.0,0.0
ARG,2008,Cycling,2.1,0.004778416897889463
ARG,2008,Equestrianism,0.0,0.0
ARG,2008,Fencing,0.0,0.0
ARG,2008,Football,13.0391957,0.029669863365603632
