NOC,Year,Sport,Total,Gold,Silver,Bronze,Trend,Seasonal,Residual
ALB,2000,Athletics,0,0,0,0,0.0,0.0,0.0
ALB,2004,Athletics,0,0,0,0,0.0,0.0,0.0
ALB,2008,Athletics,0,0,0,0,0.0,0.0,0.0
ALB,2012,Athletics,0,0,0,0,0.0,0.0,0.0
ALB,2016,Athletics,0,0,0,0,0.0,0.0,0.0
ALB,2020,Athletics,0,0,0,0,0.0,0.0,0.0
ALB,2024,Athletics,0,0,0,0,0.0,0.0,0.0
ALB,2008,Judo,0,0,0,0,0.0,0.0,0.0
ALB,2012,Judo,0,0,0,0,0.0,0.0,0.0
ALB,2020,Judo,0,0,0,0,0.0,0.0,0.0
ALB,1972,Shooting,0,0,0,0,0.0,0.0,0.0
ALB,1992,Shooting,0,0,0,0,0.0,0.0,0.0
ALB,1996,Shooting,0,0,0,0,0.0,0.0,0.0
ALB,2000,Shooting,0,0,0,0,0.0,0.0,0.0
ALB,2008,Shooting,0,0,0,0,0.0,0.0,0.0
ALB,2012,Shooting,0,0,0,0,0.0,0.0,0.0
ALB,2020,Shooting,0,0,0,0,0.0,0.0,0.0
ALB,2024,Shooting,0,0,0,0,0.0,0.0,0.0
ALB,1992,Swimming,0,0,0,0,0.0,0.0,0.0
ALB,2004,Swimming,0,0,0,0,0.0,0.0,0.0
ALB,2008,Swimming,0,0,0,0,0.0,0.0,0.0
ALB,2012,Swimming,0,0,0,0,0.0,0.0,0.0
ALB,2016,Swimming,0,0,0,0,0.0,0.0,0.0
ALB,2020,Swimming,0,0,0,0,0.0,0.0,0.0
ALB,2024,Swimming,0,0,0,0,0.0,0.0,0.0
ALB,1972,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALB,1992,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALB,1996,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALB,2000,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALB,2004,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALB,2008,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALB,2012,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALB,2016,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALB,2020,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALB,1996,Wrestling,0,0,0,0,-5.204373986837386e-18,5.2044242191166555e-18,-5.023227926948671e-23
ALB,2004,Wrestling,0,0,0,0,-1.7347458052675108e-18,1.734686925162181e-18,5.888010532977683e-23
ALB,2008,Wrestling,0,0,0,0,4.9745638573645794e-23,-1.535609183345101e-22,1.038152797608643e-22
ALB,2024,Wrestling,2,0,0,2,6.9384437509619525e-18,2.081649801932103e-17,2.0
ALG,1972,Athletics,0,0,0,0,-0.2995694072875664,0.3011722133941457,-0.0016028061065792576
ALG,1980,Athletics,0,0,0,0,-0.036457767547811624,0.031066628334899336,0.005391139212912288
ALG,1984,Athletics,0,0,0,0,0.09325935192742835,-0.10752790948974668,0.014268557562318332
ALG,1988,Athletics,0,0,0,0,0.21278354008517836,-0.20853261939052878,-0.004250920694649579
ALG,1992,Athletics,1,1,0,0,0.30953732929131217,0.1458318753597242,0.5446307953489636
ALG,1996,Athletics,1,1,0,0,0.42308172813432343,0.08015666220460774,0.49676160966106886
ALG,2000,Athletics,4,1,1,2,0.637630836878118,0.46579825161054084,2.896570911511341
ALG,2004,Athletics,0,0,0,0,0.6376308368781176,-0.637630836878118,3.3306690738754696e-16
ALG,2008,Athletics,0,0,0,0,0.7380655462924228,-0.22437657842544473,-0.513688967866978
ALG,2012,Athletics,1,1,0,0,0.8478900562870156,0.17018906425311864,-0.018079120540134275
ALG,2016,Athletics,2,0,2,0,0.9739724192197632,1.0362207468668385,-0.010193166086601702
ALG,2020,Athletics,0,0,0,0,1.1073827055017882,-1.1020098447510593,-0.005372860750728847
ALG,2024,Athletics,1,0,0,1,1.2441828908764074,-0.2544852723523268,0.010302381475919331
ALG,1968,Boxing,0,0,0,0,-0.3017421152759444,0.3017421152759446,-1.6653345369377348e-16
ALG,1972,Boxing,0,0,0,0,-0.10799676064306313,0.10799676064306302,1.1102230246251565e-16
ALG,1980,Boxing,0,0,0,0,0.2794939486226994,-0.27949394862269933,-5.551115123125783e-17
ALG,1984,Boxing,2,0,0,2,0.4696191801549706,0.3567172213463436,1.1736635984986856
ALG,1988,Boxing,0,0,0,0,0.6605809427353235,-0.18367843422452215,-0.4769025085108014
ALG,1992,Boxing,1,0,0,1,0.8511244397916354,0.14887556020836434,2.220446049250313e-16
ALG,1996,Boxing,2,1,0,1,0.7226511566744942,-0.2885881916540905,1.5659370349795965
ALG,2000,Boxing,1,0,0,1,0.59562525792928,0.4072957684533465,-0.0029210263826264793
ALG,2004,Boxing,0,0,0,0,0.4822297801531387,-0.4722324965718714,-0.009997283581267336
ALG,2008,Boxing,0,0,0,0,0.38696664274879067,0.5457724218425284,-0.9327390645913191
ALG,2012,Boxing,0,0,0,0,0.29592876114152694,-0.2836738000078204,-0.012254961133706554
ALG,2016,Boxing,0,0,0,0,0.2206860605265036,-0.21386949064634048,-0.006816569880163131
ALG,2020,Boxing,0,0,0,0,0.15056642994860164,-0.14924406937003795,-0.0013223605785636916
ALG,2024,Boxing,1,1,0,0,0.0826243855200477,0.9131798235375219,0.0041957909424303885
ALG,1988,Cycling,0,0,0,0,0.0,0.0,0.0
ALG,2008,Cycling,0,0,0,0,0.0,0.0,0.0
ALG,2012,Cycling,0,0,0,0,0.0,0.0,0.0
ALG,2016,Cycling,0,0,0,0,0.0,0.0,0.0
ALG,1980,Fencing,0,0,0,0,0.0,0.0,0.0
ALG,1996,Fencing,0,0,0,0,0.0,0.0,0.0
ALG,2000,Fencing,0,0,0,0,0.0,0.0,0.0
ALG,2004,Fencing,0,0,0,0,0.0,0.0,0.0
ALG,2008,Fencing,0,0,0,0,0.0,0.0,0.0
ALG,2012,Fencing,0,0,0,0,0.0,0.0,0.0
ALG,2016,Fencing,0,0,0,0,0.0,0.0,0.0
ALG,2020,Fencing,0,0,0,0,0.0,0.0,0.0
ALG,2024,Fencing,0,0,0,0,0.0,0.0,0.0
ALG,1964,Gymnastics,0,0,0,0,0.0,0.0,0.0
ALG,1968,Gymnastics,0,0,0,0,0.0,0.0,0.0
ALG,2016,Gymnastics,0,0,0,0,0.0,0.0,0.0
ALG,1980,Handball,0,0,0,0,0.0,0.0,0.0
ALG,1984,Handball,0,0,0,0,0.0,0.0,0.0
ALG,1988,Handball,0,0,0,0,0.0,0.0,0.0
ALG,1996,Handball,0,0,0,0,0.0,0.0,0.0
ALG,1980,Judo,0,0,0,0,-6.818442288761787e-07,8.321756983869073e-07,-1.5033146951072855e-07
ALG,1988,Judo,0,0,0,0,-1.3850959879389326e-07,-1.2522651326292476e-07,2.6373611205681805e-07
ALG,1992,Judo,0,0,0,0,9.955111443986252e-08,-2.9336525828518074e-07,1.9381414384531822e-07
ALG,1996,Judo,0,0,0,0,1.1213477079848922e-07,-1.1119213654596162e-07,-9.426342525275932e-10
ALG,2000,Judo,0,0,0,0,2.030491660990526e-08,7.323765187347873e-09,-2.7628681797253135e-08
ALG,2004,Judo,0,0,0,0,1.4803732543130214e-07,5.948040462271836e-08,-2.075177300540205e-07
ALG,2008,Judo,2,0,1,1,3.312946173506341e-07,7.6330489435263e-07,1.9999989054004883
ALG,2012,Judo,0,0,0,0,3.6180366525496113e-07,-9.934994251892623e-07,6.316957599343013e-07
ALG,2016,Judo,0,0,0,0,-7.128678288615181e-09,-3.8426542360183396e-07,3.9139410189044917e-07
ALG,2020,Judo,0,0,0,0,-6.045471877491476e-07,4.156076633543915e-07,1.8893952439475607e-07
ALG,2024,Judo,0,0,0,0,-1.3277129104042054e-06,1.695839761740252e-06,-3.6812685133604657e-07
ALG,1996,Rowing,0,0,0,0,0.0,0.0,0.0
ALG,2000,Rowing,0,0,0,0,0.0,0.0,0.0
ALG,2004,Rowing,0,0,0,0,0.0,0.0,0.0
ALG,2008,Rowing,0,0,0,0,0.0,0.0,0.0
ALG,2012,Rowing,0,0,0,0,0.0,0.0,0.0
ALG,2016,Rowing,0,0,0,0,0.0,0.0,0.0
ALG,2020,Rowing,0,0,0,0,0.0,0.0,0.0
ALG,2024,Rowing,0,0,0,0,0.0,0.0,0.0
ALG,2016,Sailing,0,0,0,0,0.0,0.0,0.0
ALG,2020,Sailing,0,0,0,0,0.0,0.0,0.0
ALG,2024,Sailing,0,0,0,0,0.0,0.0,0.0
ALG,2012,Shooting,0,0,0,0,0.0,0.0,0.0
ALG,2016,Shooting,0,0,0,0,0.0,0.0,0.0
ALG,2020,Shooting,0,0,0,0,0.0,0.0,0.0
ALG,2024,Shooting,0,0,0,0,0.0,0.0,0.0
ALG,1980,Swimming,0,0,0,0,0.0,0.0,0.0
ALG,1992,Swimming,0,0,0,0,0.0,0.0,0.0
ALG,1996,Swimming,0,0,0,0,0.0,0.0,0.0
ALG,2000,Swimming,0,0,0,0,0.0,0.0,0.0
ALG,2004,Swimming,0,0,0,0,0.0,0.0,0.0
ALG,2008,Swimming,0,0,0,0,0.0,0.0,0.0
ALG,2012,Swimming,0,0,0,0,0.0,0.0,0.0
ALG,2016,Swimming,0,0,0,0,0.0,0.0,0.0
ALG,2020,Swimming,0,0,0,0,0.0,0.0,0.0
ALG,2024,Swimming,0,0,0,0,0.0,0.0,0.0
ALG,2000,Table Tennis,0,0,0,0,0.0,0.0,0.0
ALG,2004,Table Tennis,0,0,0,0,0.0,0.0,0.0
ALG,2008,Table Tennis,0,0,0,0,0.0,0.0,0.0
ALG,2020,Table Tennis,0,0,0,0,0.0,0.0,0.0
ALG,2024,Table Tennis,0,0,0,0,0.0,0.0,0.0
ALG,1992,Volleyball,0,0,0,0,0.0,0.0,0.0
ALG,2008,Volleyball,0,0,0,0,0.0,0.0,0.0
ALG,2012,Volleyball,0,0,0,0,0.0,0.0,0.0
ALG,1980,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALG,1984,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALG,1988,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALG,1992,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALG,1996,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALG,2000,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALG,2004,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALG,2008,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALG,2012,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALG,2016,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALG,2020,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALG,2024,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALG,1980,Wrestling,0,0,0,0,0.0,0.0,0.0
ALG,1992,Wrestling,0,0,0,0,0.0,0.0,0.0
ALG,1996,Wrestling,0,0,0,0,0.0,0.0,0.0
ALG,2000,Wrestling,0,0,0,0,0.0,0.0,0.0
ALG,2004,Wrestling,0,0,0,0,0.0,0.0,0.0
ALG,2008,Wrestling,0,0,0,0,0.0,0.0,0.0
ALG,2012,Wrestling,0,0,0,0,0.0,0.0,0.0
ALG,2016,Wrestling,0,0,0,0,0.0,0.0,0.0
ALG,2020,Wrestling,0,0,0,0,0.0,0.0,0.0
ALG,2024,Wrestling,0,0,0,0,0.0,0.0,0.0
AND,1988,Athletics,0,0,0,0,0.0,0.0,0.0
AND,1992,Athletics,0,0,0,0,0.0,0.0,0.0
AND,1996,Athletics,0,0,0,0,0.0,0.0,0.0
AND,2000,Athletics,0,0,0,0,0.0,0.0,0.0
AND,2004,Athletics,0,0,0,0,0.0,0.0,0.0
AND,2008,Athletics,0,0,0,0,0.0,0.0,0.0
AND,2012,Athletics,0,0,0,0,0.0,0.0,0.0
AND,2016,Athletics,0,0,0,0,0.0,0.0,0.0
AND,2020,Athletics,0,0,0,0,0.0,0.0,0.0
AND,2024,Athletics,0,0,0,0,0.0,0.0,0.0
AND,1992,Judo,0,0,0,0,0.0,0.0,0.0
AND,1996,Judo,0,0,0,0,0.0,0.0,0.0
AND,2004,Judo,0,0,0,0,0.0,0.0,0.0
AND,2008,Judo,0,0,0,0,0.0,0.0,0.0
AND,2012,Judo,0,0,0,0,0.0,0.0,0.0
AND,2016,Judo,0,0,0,0,0.0,0.0,0.0
AND,1976,Shooting,0,0,0,0,0.0,0.0,0.0
AND,1980,Shooting,0,0,0,0,0.0,0.0,0.0
AND,1984,Shooting,0,0,0,0,0.0,0.0,0.0
AND,1992,Shooting,0,0,0,0,0.0,0.0,0.0
AND,1996,Shooting,0,0,0,0,0.0,0.0,0.0
AND,2000,Shooting,0,0,0,0,0.0,0.0,0.0
AND,2004,Shooting,0,0,0,0,0.0,0.0,0.0
AND,2012,Shooting,0,0,0,0,0.0,0.0,0.0
AND,2016,Shooting,0,0,0,0,0.0,0.0,0.0
AND,1996,Swimming,0,0,0,0,0.0,0.0,0.0
AND,2000,Swimming,0,0,0,0,0.0,0.0,0.0
AND,2004,Swimming,0,0,0,0,0.0,0.0,0.0
AND,2008,Swimming,0,0,0,0,0.0,0.0,0.0
AND,2012,Swimming,0,0,0,0,0.0,0.0,0.0
AND,2016,Swimming,0,0,0,0,0.0,0.0,0.0
ANG,1980,Athletics,0,0,0,0,0.0,0.0,0.0
ANG,1988,Athletics,0,0,0,0,0.0,0.0,0.0
ANG,1992,Athletics,0,0,0,0,0.0,0.0,0.0
ANG,1996,Athletics,0,0,0,0,0.0,0.0,0.0
ANG,2000,Athletics,0,0,0,0,0.0,0.0,0.0
ANG,2004,Athletics,0,0,0,0,0.0,0.0,0.0
ANG,2008,Athletics,0,0,0,0,0.0,0.0,0.0
ANG,2012,Athletics,0,0,0,0,0.0,0.0,0.0
ANG,2016,Athletics,0,0,0,0,0.0,0.0,0.0
ANG,2020,Athletics,0,0,0,0,0.0,0.0,0.0
ANG,2024,Athletics,0,0,0,0,0.0,0.0,0.0
ANG,1992,Basketball,0,0,0,0,0.0,0.0,0.0
ANG,1996,Basketball,0,0,0,0,0.0,0.0,0.0
ANG,2000,Basketball,0,0,0,0,0.0,0.0,0.0
ANG,2004,Basketball,0,0,0,0,0.0,0.0,0.0
ANG,2008,Basketball,0,0,0,0,0.0,0.0,0.0
ANG,2012,Basketball,0,0,0,0,0.0,0.0,0.0
ANG,1980,Boxing,0,0,0,0,0.0,0.0,0.0
ANG,1988,Boxing,0,0,0,0,0.0,0.0,0.0
ANG,1992,Boxing,0,0,0,0,0.0,0.0,0.0
ANG,1996,Handball,0,0,0,0,0.0,0.0,0.0
ANG,2000,Handball,0,0,0,0,0.0,0.0,0.0
ANG,2004,Handball,0,0,0,0,0.0,0.0,0.0
ANG,2008,Handball,0,0,0,0,0.0,0.0,0.0
ANG,2012,Handball,0,0,0,0,0.0,0.0,0.0
ANG,2016,Handball,0,0,0,0,0.0,0.0,0.0
ANG,2020,Handball,0,0,0,0,0.0,0.0,0.0
ANG,2024,Handball,0,0,0,0,0.0,0.0,0.0
ANG,1988,Judo,0,0,0,0,0.0,0.0,0.0
ANG,1992,Judo,0,0,0,0,0.0,0.0,0.0
ANG,2004,Judo,0,0,0,0,0.0,0.0,0.0
ANG,2012,Judo,0,0,0,0,0.0,0.0,0.0
ANG,2016,Judo,0,0,0,0,0.0,0.0,0.0
ANG,2020,Judo,0,0,0,0,0.0,0.0,0.0
ANG,2024,Judo,0,0,0,0,0.0,0.0,0.0
ANG,1992,Sailing,0,0,0,0,0.0,0.0,0.0
ANG,2016,Sailing,0,0,0,0,0.0,0.0,0.0
ANG,2020,Sailing,0,0,0,0,0.0,0.0,0.0
ANG,2024,Sailing,0,0,0,0,0.0,0.0,0.0
ANG,1996,Shooting,0,0,0,0,0.0,0.0,0.0
ANG,2000,Shooting,0,0,0,0,0.0,0.0,0.0
ANG,2016,Shooting,0,0,0,0,0.0,0.0,0.0
ANG,1980,Swimming,0,0,0,0,0.0,0.0,0.0
ANG,1988,Swimming,0,0,0,0,0.0,0.0,0.0
ANG,1992,Swimming,0,0,0,0,0.0,0.0,0.0
ANG,1996,Swimming,0,0,0,0,0.0,0.0,0.0
ANG,2000,Swimming,0,0,0,0,0.0,0.0,0.0
ANG,2004,Swimming,0,0,0,0,0.0,0.0,0.0
ANG,2008,Swimming,0,0,0,0,0.0,0.0,0.0
ANG,2012,Swimming,0,0,0,0,0.0,0.0,0.0
ANG,2016,Swimming,0,0,0,0,0.0,0.0,0.0
ANG,2020,Swimming,0,0,0,0,0.0,0.0,0.0
ANG,2024,Swimming,0,0,0,0,0.0,0.0,0.0
ANT,1976,Athletics,0,0,0,0,0.0,0.0,0.0
ANT,1984,Athletics,0,0,0,0,0.0,0.0,0.0
ANT,1988,Athletics,0,0,0,0,0.0,0.0,0.0
ANT,1992,Athletics,0,0,0,0,0.0,0.0,0.0
ANT,1996,Athletics,0,0,0,0,0.0,0.0,0.0
ANT,2000,Athletics,0,0,0,0,0.0,0.0,0.0
ANT,2004,Athletics,0,0,0,0,0.0,0.0,0.0
ANT,2008,Athletics,0,0,0,0,0.0,0.0,0.0
ANT,2012,Athletics,0,0,0,0,0.0,0.0,0.0
ANT,2016,Athletics,0,0,0,0,0.0,0.0,0.0
ANT,2020,Athletics,0,0,0,0,0.0,0.0,0.0
ANT,2024,Athletics,0,0,0,0,0.0,0.0,0.0
ANT,1976,Cycling,0,0,0,0,0.0,0.0,0.0
ANT,1984,Cycling,0,0,0,0,0.0,0.0,0.0
ANT,1988,Cycling,0,0,0,0,0.0,0.0,0.0
ANT,1992,Cycling,0,0,0,0,0.0,0.0,0.0
ANT,1996,Cycling,0,0,0,0,0.0,0.0,0.0
ANT,1984,Sailing,0,0,0,0,0.0,0.0,0.0
ANT,1988,Sailing,0,0,0,0,0.0,0.0,0.0
ANT,1992,Sailing,0,0,0,0,0.0,0.0,0.0
ANT,1996,Sailing,0,0,0,0,0.0,0.0,0.0
ANT,2000,Sailing,0,0,0,0,0.0,0.0,0.0
ANT,2020,Sailing,0,0,0,0,0.0,0.0,0.0
ANT,2024,Sailing,0,0,0,0,0.0,0.0,0.0
ANT,2004,Swimming,0,0,0,0,0.0,0.0,0.0
ANT,2008,Swimming,0,0,0,0,0.0,0.0,0.0
ANT,2012,Swimming,0,0,0,0,0.0,0.0,0.0
ANT,2016,Swimming,0,0,0,0,0.0,0.0,0.0
ANT,2020,Swimming,0,0,0,0,0.0,0.0,0.0
ANT,2024,Swimming,0,0,0,0,0.0,0.0,0.0
ARG,1924,Athletics,1,0,1,0,0.26300481133907316,0.1482753124774696,0.5887198761834572
ARG,1928,Athletics,0,0,0,0,0.26300481133907316,-0.3933163862143426,0.13031157487526945
ARG,1932,Athletics,1,1,0,0,0.26300481133907316,0.12925627997817568,0.6077389086827512
ARG,1936,Athletics,0,0,0,0,0.26300481133907316,0.09716485079282312,-0.3601696621318963
ARG,1948,Athletics,2,1,1,0,0.15697794848148258,0.08258958283143629,1.7604324686870811
ARG,1952,Athletics,1,0,1,0,0.050951085623891765,0.05996432656695645,0.8890845878091518
ARG,1956,Athletics,0,0,0,0,-0.05507577723369896,0.05507577723369898,-2.0816681711721685e-17
ARG,1960,Athletics,0,0,0,0,-0.04441663253486775,-0.13329978081989083,0.17771641335475857
ARG,1964,Athletics,0,0,0,0,-0.03324815131365673,0.03461787952283743,-0.0013697282091807012
ARG,1968,Athletics,0,0,0,0,-0.021765954517045046,0.020451486705246925,0.0013144678117981215
ARG,1972,Athletics,0,0,0,0,-0.011711172556309097,0.013778018148905932,-0.0020668455925968356
ARG,1976,Athletics,0,0,0,0,-0.0045908641526039625,-0.004312663242586166,0.008903527395190129
ARG,1984,Athletics,0,0,0,0,0.000820907692173929,0.0002476168571254036,-0.0010685245492993325
ARG,1988,Athletics,0,0,0,0,0.0010573987113141805,-0.0020995102121803425,0.001042111500866162
ARG,1992,Athletics,0,0,0,0,0.0011665225947954279,-0.0022520581435518123,0.0010855355487563844
ARG,1996,Athletics,0,0,0,0,0.0006664047459217163,-0.0003067835794031972,-0.0003596211665185191
ARG,2000,Athletics,0,0,0,0,-0.00012407220335174373,0.0006586918053641362,-0.0005346196020123925
ARG,2004,Athletics,0,0,0,0,-0.00024031674700322357,0.00048175193187194234,-0.00024143518486871877
ARG,2008,Athletics,0,0,0,0,0.0004278037244202441,0.00115326481183928,-0.0015810685362595241
ARG,2012,Athletics,0,0,0,0,0.0005937770748411962,-0.0033985912568846232,0.0028048141820434273
ARG,2016,Athletics,0,0,0,0,-0.0005143700721706737,-0.000906666127795363,0.0014210361999660369
ARG,2020,Athletics,0,0,0,0,-0.001749229182358013,0.002391991042493901,-0.0006427618601358882
ARG,2024,Athletics,0,0,0,0,-0.0032122079700658444,0.003835395876589328,-0.0006231879065234838
ARG,1948,Basketball,0,0,0,0,-1.0615762231895826e-07,9.015114742135421e-08,1.6006474897604047e-08
ARG,1952,Basketball,0,0,0,0,-6.391788303904135e-08,1.3220447947353292e-07,-6.828659643449157e-08
ARG,1996,Basketball,0,0,0,0,1.696252360839927e-07,-1.9067041674210423e-07,2.1045180658111518e-08
ARG,2004,Basketball,12,12,0,0,4.2748623244804905e-07,3.990216017531686e-07,11.999999173492165
ARG,2008,Basketball,12,0,0,12,4.476250941306642e-07,4.419824979497765e-07,11.999999110392407
ARG,2012,Basketball,0,0,0,0,2.825007093992356e-07,-3.964883194328103e-07,1.1398761003357468e-07
ARG,2016,Basketball,0,0,0,0,3.5610433098439835e-08,-5.504521457067601e-07,5.148417126083203e-07
ARG,2020,Basketball,0,0,0,0,-2.6819850180788626e-07,4.86782342796712e-07,-2.1858384098882578e-07
ARG,1996,Beach Volleyball,0,0,0,0,0.0,0.0,0.0
ARG,2000,Beach Volleyball,0,0,0,0,0.0,0.0,0.0
ARG,2004,Beach Volleyball,0,0,0,0,0.0,0.0,0.0
ARG,2008,Beach Volleyball,0,0,0,0,0.0,0.0,0.0
ARG,2012,Beach Volleyball,0,0,0,0,0.0,0.0,0.0
ARG,2016,Beach Volleyball,0,0,0,0,0.0,0.0,0.0
ARG,2020,Beach Volleyball,0,0,0,0,0.0,0.0,0.0
ARG,1920,Boxing,0,0,0,0,2.009539195302978,-1.9905207954244912,-0.019018399878486747
ARG,1924,Boxing,4,0,2,2,2.560886428033184,1.430356313056084,0.00875725891073209
ARG,1928,Boxing,4,2,2,0,3.108964382806875,0.8408510722896657,0.05018454490345947
ARG,1932,Boxing,3,2,1,0,3.63445636376744,-0.6196307117092944,-0.014825652058145344
ARG,1936,Boxing,4,1,1,2,2.097998474546397,-1.052804182874244,2.954805708327847
ARG,1948,Boxing,3,2,0,1,0.2384709973389134,-0.7832231144654009,3.544752117126488
ARG,1952,Boxing,2,0,1,1,0.5679657104796246,1.235059434866618,0.19697485465375741
ARG,1956,Boxing,1,0,0,1,1.1284310301844644,-0.27768989294968993,0.14925886276522538
ARG,1960,Boxing,1,0,0,1,0.982616171128462,-0.014563435959376543,0.03194726483091448
ARG,1964,Boxing,0,0,0,0,0.7245799948653776,-0.7281992781752856,0.003619283309908017
ARG,1968,Boxing,1,0,0,1,0.4574712924229134,0.5672527962280569,-0.02472408865097031
ARG,1972,Boxing,0,0,0,0,0.25897505069796994,-0.15406256631868356,-0.10491248437928638
ARG,1976,Boxing,0,0,0,0,0.11886697627038673,-0.04057757535038973,-0.078289400919997
ARG,1984,Boxing,0,0,0,0,0.07769946469209003,0.2753300519512972,-0.3530295166433873
ARG,1988,Boxing,0,0,0,0,0.07184903534739172,-0.09859369383042478,0.026744658483033062
ARG,1992,Boxing,0,0,0,0,0.02890088763154287,-0.03253551626833002,0.003634628636787148
ARG,1996,Boxing,1,0,0,1,-0.008436171297681637,-0.09957698459610917,1.108013155893791
ARG,2000,Boxing,0,0,0,0,-0.025607709686111462,0.12093536807949913,-0.09532765839338767
